iter	Passed	Remaining
752	35058	81337
753	35099	81278
754	35145	81230
755	35192	81184
756	35245	81154
757	35293	81109
758	35332	81046
759	35377	80995
760	35423	80948
761	35470	80901
762	35513	80846
763	35555	80792
764	35594	80727
765	35637	80672
766	35673	80603
767	35715	80546
768	35756	80485
769	35808	80452
770	35854	80404
771	35891	80337
772	35935	80284
773	35974	80221
774	36012	80157
775	36053	80098
776	36095	80042
777	36138	79987
778	36176	79922
779	36216	79862
780	36264	79819
781	36310	79771
782	36351	79714
783	36389	79649
784	36433	79597
785	36473	79535
786	36516	79481
787	36557	79425
788	36600	79371
789	36640	79311
790	36687	79265
791	36738	79229
792	36784	79181
793	36935	79359
794	36981	79312
795	37026	79262
796	37065	79200
797	37106	79141
798	37152	79093
799	37206	79063
800	37248	79008
801	37291	78954
802	37336	78904
803	37384	78860
804	37431	78815
805	37477	78767
806	37522	78717
807	37566	78666
808	37607	78608
809	37650	78553
810	37694	78503
811	37739	78453
812	37786	78408
813	37835	78367
814	37881	78318
815	37920	78257
816	37975	78229
817	38017	78173
818	38057	78112
819	38103	78065
820	38145	78010
821	38187	77954
822	38230	77900
823	38277	77855
824	38321	77804
825	38363	77748
826	38415	77712
827	38459	77661
828	38506	77616
829	38551	77566
830	38600	77525
831	38642	77471
832	38684	77415
833	38726	77360
834	38766	77301
835	38805	77240
836	38850	77190
837	38890	77131
838	38930	77072
839	38972	77016
840	39029	76991
841	39071	76936
842	39113	76881
843	39152	76820
844	39190	76758
845	39232	76702
846	39273	76645
847	39329	76617
848	39365	76552
849	39406	76494
850	39449	76442
851	39491	76386
852	39530	76327
853	39573	76274
854	39615	76219
855	39662	76173
856	39709	76128
857	39762	76096
858	39811	76054
859	39864	76020
860	39931	76014
861	39999	76009
862	40069	76007
863	40119	75966
864	40173	75934
865	40229	75906
866	40276	75860
867	40321	75811
868	40369	75768
869	40417	75724
870	40467	75684
871	40520	75649
872	40571	75613
873	40614	75559
874	40668	75526
875	40721	75492
876	40778	75466
877	40830	75428
878	40876	75381
879	40923	75336
880	40967	75284
881	41015	75242
882	41066	75203
883	41129	75187
884	41173	75135
885	41219	75089
886	41265	75040
887	41310	74990
888	41358	74947
889	41403	74898
890	41452	74855
891	41499	74810
892	41548	74768
893	41594	74720
894	41653	74697
895	41695	74641
896	41747	74605
897	41791	74555
898	41839	74510
899	41884	74461
900	41931	74414
901	41974	74363
902	42019	74312
903	42064	74264
904	42108	74213
905	42167	74188
906	42205	74127
907	42246	74070
908	42290	74019
909	42330	73962
910	42374	73910
911	42414	73853
912	42464	73813
913	42509	73764
914	42549	73705
915	42594	73656
916	42643	73614
917	42684	73559
918	42728	73508
919	42765	73445
920	42816	73406
921	42862	73359
922	42908	73312
923	42958	73271
924	43008	73230
925	43053	73181
926	43101	73137
927	43145	73087
928	43202	73059
929	43243	73003
930	43280	72940
931	43324	72889
932	43368	72839
933	43409	72782
934	43456	72737
935	43495	72678
936	43534	72619
937	43573	72560
938	43614	72504
939	43658	72454
940	43695	72392
941	43738	72339
942	43777	72280
943	43821	72230
944	43864	72179
945	43905	72123
946	43945	72067
947	43987	72013
948	44024	71951
949	44077	71916
950	44118	71860
951	44158	71804
952	44215	71775
953	44257	71720
954	44297	71664
955	44337	71608
956	44378	71553
957	44420	71498
958	44463	71447
959	44510	71402
960	44552	71349
961	44592	71292
962	44633	71237
963	44674	71183
964	44717	71130
965	44757	71073
966	44804	71029
967	44850	70982
968	44892	70929
969	44936	70879
970	44976	70823
971	45017	70768
972	45059	70715
973	45099	70659
974	45140	70603
975	45180	70547
976	45223	70496
977	45282	70470
978	45323	70415
979	45361	70356
980	45402	70302
981	45446	70251
982	45490	70202
983	45533	70151
984	45577	70101
985	45618	70046
986	45658	69991
987	45701	69939
988	45741	69884
989	45780	69827
990	45824	69777
991	45875	69737
992	45919	69688
993	45975	69657
994	46016	69603
995	46058	69550
996	46097	69493
997	46137	69437
998	46175	69378
999	46213	69319
1000	46273	69294
1001	46320	69249
1002	46362	69196
1003	46402	69141
1004	46442	69085
1005	46483	69032
1006	46531	68988
1007	46576	68940
1008	46614	68882
1009	46655	68828
1010	46694	68771
1011	46737	68721
1012	46783	68673
1013	46825	68621
1014	46866	68568
1015	46909	68517
1016	46947	68459
1017	46991	68410
1018	47029	68352
1019	47066	68292
1020	47103	68233
1021	47143	68178
1022	47187	68129
1023	47227	68073
1024	47266	68017
1025	47325	67990
1026	47381	67958
1027	47424	67907
1028	47462	67849
1029	47510	67805
1030	47548	67748
1031	47586	67691
1032	47628	67638
1033	47667	67582
1034	47705	67525
1035	47746	67471
1036	47790	67423
1037	47830	67368
1038	47871	67315
1039	47912	67261
1040	47955	67211
1041	47993	67154
1042	48033	67099
1043	48072	67043
1044	48115	66992
1045	48157	66941
1046	48195	66885
1047	48240	66837
1048	48282	66784
1049	48325	66735
1050	48389	66713
1051	48428	66657
1052	48468	66603
1053	48512	66555
1054	48554	66503
1055	48594	66448
1056	48630	66390
1057	48675	66342
1058	48715	66288
1059	48756	66235
1060	48802	66188
1061	48840	66133
1062	48880	66077
1063	48920	66024
1064	48960	65970
1065	49017	65939
1066	49057	65885
1067	49095	65829
1068	49136	65775
1069	49179	65726
1070	49219	65672
1071	49259	65618
1072	49298	65562
1073	49337	65507
1074	49392	65473
1075	49435	65423
1076	49476	65371
1077	49521	65324
1078	49560	65268
1079	49605	65221
1080	49645	65168
1081	49684	65112
1082	49729	65065
1083	49769	65012
1084	49809	64959
1085	49855	64913
1086	49896	64861
1087	49932	64802
1088	49972	64748
1089	50010	64691
1090	50050	64638
1091	50090	64585
1092	50129	64530
1093	50167	64474
1094	50205	64418
1095	50246	64366
1096	50283	64309
1097	50324	64257
1098	50365	64206
1099	50423	64175
1100	50464	64123
1101	50508	64075
1102	50548	64021
1103	50587	63968
1104	50625	63912
1105	50666	63860
1106	50706	63806
1107	50746	63754
1108	50789	63704
1109	50827	63649
1110	50872	63602
1111	50913	63550
1112	50954	63498
1113	50994	63444
1114	51032	63390
1115	51074	63339
1116	51112	63283
1117	51168	63251
1118	51205	63194
1119	51244	63140
1120	51287	63091
1121	51326	63036
1122	51363	62981
1123	51407	62932
1124	51459	62894
1125	51506	62850
1126	51547	62799
1127	51586	62745
1128	51627	62693
1129	51665	62638
1130	51705	62586
1131	51748	62536
1132	51795	62492
1133	51837	62442
1134	51878	62391
1135	51922	62343
1136	51958	62286
1137	51998	62233
1138	52036	62178
1139	52074	62124
1140	52114	62071
1141	52157	62022
1142	52197	61970
1143	52238	61919
1144	52277	61865
1145	52319	61815
1146	52359	61763
1147	52400	61712
1148	52441	61660
1149	52496	61626
1150	52544	61583
1151	52582	61529
1152	52622	61477
1153	52664	61426
1154	52703	61373
1155	52740	61318
1156	52786	61271
1157	52826	61219
1158	52866	61167
1159	52905	61114
1160	52951	61070
1161	52990	61016
1162	53028	60961
1163	53064	60905
1164	53103	60852
1165	53147	60805
1166	53189	60755
1167	53227	60700
1168	53266	60647
1169	53303	60593
1170	53343	60540
1171	53381	60486
1172	53414	60427
1173	53455	60376
1174	53495	60324
1175	53562	60303
1176	53606	60255
1177	53644	60202
1178	53685	60151
1179	53726	60101
1180	53770	60053
1181	53808	59999
1182	53847	59946
1183	53892	59900
1184	53935	59852
1185	53980	59806
1186	54018	59752
1187	54056	59699
1188	54095	59646
1189	54138	59597
1190	54185	59553
1191	54225	59502
1192	54266	59451
1193	54307	59401
1194	54346	59349
1195	54387	59299
1196	54431	59251
1197	54470	59199
1198	54521	59159
1199	54579	59127
1200	54627	59085
1201	54669	59035
1202	54713	58989
1203	54759	58943
1204	54797	58890
1205	54840	58842
1206	54885	58796
1207	54935	58755
1208	54972	58700
1209	55013	58650
1210	55053	58599
1211	55094	58549
1212	55133	58497
1213	55171	58443
1214	55210	58391
1215	55254	58344
1216	55295	58294
1217	55339	58247
1218	55378	58195
1219	55417	58142
1220	55453	58087
1221	55492	58035
1222	55533	57985
1223	55585	57946
1224	55715	57989
1225	55760	57943
1226	55799	57891
1227	55844	57845
1228	55884	57794
1229	55926	57745
1230	55964	57691
1231	56005	57642
1232	56043	57589
1233	56084	57538
1234	56125	57488
1235	56171	57443
1236	56210	57392
1237	56273	57364
1238	56316	57316
1239	56356	57265
1240	56402	57220
1241	56452	57180
1242	56504	57140
1243	56555	57100
1244	56601	57055
1245	56641	57004
1246	56680	56952
1247	56721	56903
1248	56783	56874
1249	56821	56821
1250	56862	56771
1251	56901	56719
1252	56940	56667
1253	56979	56615
1254	57015	56561
1255	57051	56506
1256	57093	56457
1257	57131	56405
1258	57175	56358
1259	57226	56318
1260	57281	56282
1261	57320	56229
1262	57356	56175
1263	57399	56127
1264	57441	56079
1265	57483	56030
1266	57524	55981
1267	57568	55933
1268	57607	55882
1269	57651	55835
1270	57688	55782
1271	57730	55733
1272	57791	55703
1273	57836	55657
1274	57874	55604
1275	57910	55550
1276	57955	55504
1277	57992	55451
1278	58033	55402
1279	58073	55351
1280	58117	55304
1281	58156	55252
1282	58192	55199
1283	58236	55152
1284	58276	55102
1285	58315	55050
1286	58353	54998
1287	58391	54946
1288	58432	54896
1289	58470	54844
1290	58512	54795
1291	58556	54749
1292	58595	54698
1293	58632	54644
1294	58673	54595
1295	58713	54545
1296	58757	54499
1297	58802	54453
1298	58878	54436
1299	58917	54385
1300	58957	54335
1301	59001	54288
1302	59040	54237
1303	59081	54188
1304	59121	54138
1305	59162	54088
1306	59205	54041
1307	59243	53989
1308	59287	53942
1309	59328	53893
1310	59370	53845
1311	59411	53796
1312	59450	53745
1313	59498	53702
1314	59539	53653
1315	59580	53604
1316	59634	53566
1317	59671	53513
1318	59712	53465
1319	59758	53420
1320	59795	53368
1321	59838	53320
1322	59907	53296
1323	59953	53252
1324	59994	53202
1325	60033	53152
1326	60075	53103
1327	60113	53051
1328	60156	53004
