iter	Logloss	Accuracy	Precision
97	0.4014977752	0.8268757413	0.8255440039
98	0.4012015522	0.8269651403	0.8255992457
99	0.4009323394	0.8270843391	0.825759499
100	0.400566801	0.8273346564	0.8259976065
101	0.4002948087	0.8274180956	0.8261058791
102	0.4000301108	0.8275253744	0.8261437119
103	0.3996482065	0.8276803328	0.8262929524
104	0.3994632453	0.8276684129	0.8262177806
105	0.3990747854	0.8278710508	0.8263601107
106	0.3988294249	0.8279783297	0.8265793258
107	0.3983573065	0.8283776455	0.8269723484
108	0.3981633636	0.8284491647	0.8270448613
109	0.3978680554	0.8286518026	0.8273215192
110	0.3976472409	0.8287471616	0.8274736435
111	0.3972417493	0.8290809181	0.8277963151
112	0.3969426177	0.8291941569	0.8280103034
113	0.3966579531	0.8293610351	0.8282193007
114	0.3963845239	0.8295040736	0.828324727
115	0.3959743383	0.8295517531	0.8283254537
116	0.3954756399	0.8297722708	0.8284975096
117	0.3952265099	0.8299629888	0.8286829952
118	0.3948786433	0.8302192661	0.8289548449
119	0.3946295725	0.8303027052	0.8289678846
120	0.3944576517	0.8304338238	0.8290372089
121	0.3942460992	0.8306305018	0.8291212641
122	0.3938138615	0.8308331396	0.8294460289
123	0.3935782281	0.8310655772	0.8295900738
124	0.3933477804	0.8312026557	0.8296772323
125	0.3931656721	0.8312026557	0.8296374133
126	0.3929840189	0.8313218545	0.8297263351
127	0.3924649191	0.8316973305	0.8301027741
128	0.392285047	0.8316198514	0.8300521764
129	0.3917712573	0.8319893675	0.8303148846
130	0.39165618	0.8319893675	0.8302590599
131	0.3911807035	0.8321741255	0.8303863469
132	0.3908963091	0.832323124	0.8306529508
133	0.3906792633	0.8324959621	0.8309359035
134	0.3903884316	0.832513842	0.8309580173
135	0.3900295696	0.8327462795	0.8311655375
136	0.3898317759	0.8328416385	0.8311821595
137	0.3895743388	0.8330383164	0.8313773785
138	0.3891523232	0.8332588341	0.8316447901
139	0.3889736253	0.8333541931	0.831701339
140	0.3886905244	0.8334912717	0.8319083158
141	0.3883560295	0.8335866307	0.8320530473
142	0.3881320189	0.8337356291	0.8320957245
143	0.3879283678	0.8338250282	0.8322143599
144	0.3877438249	0.833932307	0.8321786361
145	0.3872571959	0.8343912222	0.8325510118
146	0.3870490271	0.8344985011	0.8326756688
147	0.3867886193	0.8345700203	0.8328203643
148	0.3866277793	0.8346772992	0.8328566774
149	0.3864828435	0.8346355796	0.832834524
150	0.3862542621	0.8347607383	0.8329331129
151	0.3859455337	0.8348739771	0.833011583
152	0.3857662418	0.8349931759	0.8330920497
153	0.3853568692	0.8352375333	0.8333514303
154	0.3851264108	0.835362692	0.8334740855
155	0.3847824904	0.8355772497	0.8337878934
156	0.3846576365	0.8356070494	0.833797922
157	0.3844527634	0.8357500879	0.8338782651
158	0.3843200683	0.8358037273	0.8339688209
159	0.3839919705	0.8361374838	0.8343470181
160	0.3837152265	0.8363699214	0.8346429132
161	0.3834424936	0.8365546794	0.8348017089
162	0.3832881732	0.836596399	0.8348803244
163	0.3830143396	0.8368645962	0.8351154988
164	0.3828783131	0.8370076347	0.8351794204
165	0.3825854164	0.8370135946	0.8351328854
166	0.3823340337	0.8371387533	0.8351989
167	0.3821576303	0.8372281524	0.8352529699
168	0.3818804179	0.8373652309	0.8353714424
169	0.3817158821	0.8374963495	0.8355121928
170	0.3815430136	0.8376334281	0.8357035161
171	0.3812742734	0.8377585868	0.835793714
172	0.3809380064	0.8378777855	0.8359467349
173	0.3807104568	0.8379373849	0.8360313631
174	0.3805614699	0.838020824	0.8360509431
175	0.3803190299	0.8381459827	0.8361410913
176	0.3801722378	0.8382771013	0.8362250865
177	0.3799633638	0.8384499395	0.8364851175
178	0.3798163505	0.838592978	0.8365162037
179	0.3795116551	0.8387658162	0.8367275577
180	0.3791554879	0.8388492553	0.8368119612
181	0.378990377	0.8389386544	0.8367765109
182	0.3788158295	0.8390816929	0.8369292705
183	0.3785663075	0.839254531	0.8372300532
184	0.3782359486	0.8394571689	0.8374920103
185	0.3778844244	0.8396896065	0.8376905267
186	0.377558489	0.8398922443	0.8379281235
187	0.377261839	0.8400770024	0.8379968414
188	0.3770269126	0.8402379207	0.8381962865
189	0.3769113386	0.8403213598	0.8380931723
190	0.3766202532	0.8404703583	0.8381826725
191	0.3762941643	0.8406312766	0.8384227905
192	0.3759727945	0.8408100747	0.8385953919
193	0.3756171468	0.8409590731	0.8387092887
194	0.3753291828	0.8410901917	0.8389316749
195	0.3750397254	0.8412272703	0.8390416737
196	0.3749229204	0.8413166693	0.8391524954
197	0.3747317555	0.8413881886	0.8391430603
198	0.3745847282	0.8414656678	0.8392581702
199	0.3743810354	0.8415610268	0.8393218623
200	0.373993844	0.8417457848	0.8395127182
201	0.3738297046	0.8418411438	0.8396254835
202	0.373571268	0.8419901423	0.8397474516
203	0.3733440455	0.8421451006	0.8399614365
204	0.37309272	0.842300059	0.8401836941
205	0.3728209972	0.8424371376	0.8404166817
206	0.3725950539	0.8425742161	0.8405101746
207	0.3724366216	0.8426218956	0.840574818
208	0.3722330206	0.8427410944	0.8407282373
209	0.3720679971	0.8427887739	0.8407682477
210	0.3718467338	0.8429556521	0.8410110463
211	0.3716557439	0.8430510111	0.8410910669
212	0.371503863	0.8431761698	0.8412053394
213	0.3712699553	0.8433966875	0.8415231341
214	0.3710768899	0.8435635657	0.8417084821
215	0.3707484946	0.8437900433	0.8419211656
216	0.3705820679	0.8438496427	0.841973224
217	0.3703619255	0.8440940001	0.8420760745
218	0.3702117494	0.8442251188	0.8421839399
219	0.3699771149	0.8443383576	0.8423025919
220	0.369842459	0.8445171557	0.8425329764
221	0.3695758365	0.8446482743	0.8426242947
